  Tukey multiple comparisons of means
    99% family-wise confidence level

Fit: aov(formula = U ~ C * T, data = d)

$C
                                       diff         lwr         upr p adj
static-only:MR-dynamic-only:Fd               0.352230051  0.298362136  0.4060979656 0.0000000
dynamic-only:MR-dynamic-only:Fd              0.299538174  0.259102469  0.3399738780 0.0000000
static-and-dynamic:MR-dynamic-only:Fd        0.283480114  0.247494658  0.3194655712 0.0000000
static-only:LV-static-and-dynamic:Fd        -0.040933365 -0.091194689  0.0093279586 0.1061407
dynamic-only:LV-static-and-dynamic:Fd       -0.174655239 -0.211984279 -0.1373261997 0.0000000
static-and-dynamic:LV-static-and-dynamic:Fd -0.144655539 -0.176363524 -0.1129475546 0.0000000
static-only:MP-static-and-dynamic:Fd         0.301075653  0.246843299  0.3553080072 0.0000000
dynamic-only:MP-static-and-dynamic:Fd        0.216539669  0.176877305  0.2562020324 0.0000000
static-and-dynamic:MP-static-and-dynamic:Fd  0.236906987  0.203670254  0.2701437204 0.0000000
static-only:MR-static-and-dynamic:Fd         0.298485033  0.247337327  0.3496327398 0.0000000
dynamic-only:MR-static-and-dynamic:Fd        0.245793156  0.209059223  0.2825270890 0.0000000
static-and-dynamic:MR-static-and-dynamic:Fd  0.229735097  0.197965791  0.2615044019 0.0000000
dynamic-only:LV-static-only:LV              -0.133721874 -0.187637486 -0.0798062625 0.0000000
static-and-dynamic:LV-static-only:LV        -0.103722174 -0.153910143 -0.0535342046 0.0000000
static-only:MP-static-only:LV                0.342009018  0.275266346  0.4087516898 0.0000000
dynamic-only:MP-static-only:LV               0.257473034  0.201916405  0.3130296634 0.0000000
static-and-dynamic:MP-static-only:LV         0.277840352  0.226672820  0.3290078852 0.0000000
static-only:MR-static-only:LV                0.339418399  0.275157027  0.4036797699 0.0000000
dynamic-only:MR-static-only:LV               0.286726521  0.233221215  0.3402318276 0.0000000
static-and-dynamic:MR-static-only:LV         0.270668462  0.220441729  0.3208951952 0.0000000
static-and-dynamic:LV-dynamic-only:LV        0.029999700 -0.007230513  0.0672299138 0.1162789
static-only:MP-dynamic-only:LV               0.475730892  0.418095480  0.5333663047 0.0000000
